///1
time:94.5413,vol:721.006
time:94.6597,vol:721.033
time:94.7943,vol:721.111
time:94.9355,vol:721.125
time:95.0464,vol:721.193
time:95.1907,vol:721.203
time:95.3053,vol:721.268
time:95.409,vol:721.318
time:95.5446,vol:721.363
time:95.6587,vol:721.407
time:95.7523,vol:721.43
time:95.9016,vol:721.452
time:95.9977,vol:721.456
time:96.1316,vol:721.489
time:96.2443,vol:721.493
time:96.3474,vol:721.501
time:96.5024,vol:721.508
time:96.6153,vol:721.511
time:96.7723,vol:721.656
time:96.892,vol:722.029
time:96.9898,vol:722.363
time:97.1449,vol:722.558
time:97.2547,vol:722.591
time:97.3498,vol:722.649
time:97.4985,vol:722.661
time:97.5936,vol:722.672
time:97.6904,vol:722.703
time:97.8121,vol:722.717
time:97.9093,vol:722.721
time:98.066,vol:722.723
time:98.1704,vol:722.73
time:98.298,vol:722.749
time:98.4142,vol:722.774
time:98.5191,vol:722.79
time:98.6137,vol:722.818
time:98.7622,vol:722.829
time:98.8538,vol:722.83
time:99.0073,vol:722.831
time:99.1174,vol:722.84
time:99.2176,vol:722.858
time:99.3536,vol:722.862
time:99.4594,vol:722.866
time:99.5519,vol:722.874
time:99.7031,vol:722.902
time:99.8078,vol:723.49
time:99.9347,vol:724.299
time:100.058,vol:725.303
time:100.172,vol:726.413
time:100.314,vol:728.223
time:100.427,vol:729.362
time:100.553,vol:729.79
time:100.664,vol:730.077
time:100.77,vol:730.48
time:100.887,vol:731.514
time:101.013,vol:733.348
time:101.108,vol:734.131
time:101.26,vol:736.982
time:101.368,vol:739.197
time:101.464,vol:742.582
time:101.617,vol:745.989
time:101.71,vol:747.23
time:101.845,vol:750.011
time:101.964,vol:750.692
time:102.057,vol:750.841
time:102.189,vol:750.923
time:102.297,vol:750.943
time:102.389,vol:750.95
time:102.541,vol:751.199
time:102.644,vol:751.526
time:102.754,vol:752.094
time:102.861,vol:752.871
time:102.973,vol:753.711
time:103.074,vol:754.745
time:103.197,vol:755.83
time:103.302,vol:757.604
time:103.397,vol:759.451
time:103.521,vol:760.089
time:103.626,vol:762.051
time:103.773,vol:763.301
time:103.88,vol:764.849
time:103.989,vol:765.289
time:104.145,vol:766.188
time:104.253,vol:766.804
time:104.352,vol:767.11
time:104.469,vol:767.352
time:104.571,vol:767.621
time:104.711,vol:768.069
time:104.826,vol:768.673
time:104.957,vol:769.235
time:105.068,vol:769.979
time:105.178,vol:770.822
time:105.269,vol:772.567
time:105.43,vol:774.895
time:105.525,vol:775.922
time:105.68,vol:780.002
time:105.789,vol:780.873
time:105.889,vol:783.084
time:106.029,vol:784.392
time:106.139,vol:785.171
time:106.261,vol:785.862
time:106.384,vol:786.592
time:106.488,vol:787.732
time:106.638,vol:788.915
time:106.754,vol:789.927
time:106.883,vol:791.613
time:107.002,vol:792.235
time:107.12,vol:794.101
time:107.275,vol:796.428
time:107.384,vol:796.967
time:107.48,vol:798.401
time:107.624,vol:799.554
time:107.72,vol:799.958
time:107.87,vol:801.431
time:107.981,vol:801.773
time:108.085,vol:802.906
time:108.235,vol:803.986
time:108.35,vol:804.743
time:108.473,vol:805.966
time:108.595,vol:806.426
time:108.725,vol:808.26
time:108.87,vol:810.405
time:108.985,vol:811.748
time:109.076,vol:813.751
time:109.224,vol:815.518
time:109.324,vol:815.999
time:109.474,vol:817.601
time:109.585,vol:817.99
time:109.689,vol:819.304
time:109.827,vol:821.224
time:109.938,vol:823.165
time:110.042,vol:825.138
time:110.183,vol:827.213
time:110.29,vol:830.079
time:110.438,vol:832.546
time:110.57,vol:834.186
time:110.704,vol:835.847
time:110.83,vol:837.102
time:110.921,vol:837.637
time:111.077,vol:839.074
time:111.181,vol:839.383
time:111.273,vol:840.429
time:111.407,vol:840.843
time:111.518,vol:842.078
time:111.611,vol:843.149
time:111.76,vol:843.712
time:111.856,vol:844.165
time:112.001,vol:844.556
time:112.113,vol:845.12
time:112.233,vol:845.709
time:112.37,vol:846.15
time:112.473,vol:847.172
time:112.597,vol:848.457
time:112.72,vol:848.991
time:112.824,vol:850.545
time:112.967,vol:851.058
time:113.088,vol:853.264
time:113.217,vol:854.955
time:113.333,vol:855.438
time:113.436,vol:857.278
time:113.572,vol:858.718
time:113.687,vol:860.027
time:113.804,vol:860.354
time:113.946,vol:861.467
time:114.053,vol:861.912
time:114.149,vol:862.362
time:114.304,vol:862.997
time:114.412,vol:863.691
time:114.54,vol:864.512
time:114.657,vol:865.545
time:114.758,vol:867.138
time:114.904,vol:868.812
time:115.013,vol:869.845
time:115.144,vol:871.021
time:115.262,vol:871.361
time:115.387,vol:872.552
time:115.536,vol:873.82
time:115.649,vol:874.67
time:115.742,vol:875.997
time:115.857,vol:876.351
time:115.97,vol:877.686
time:116.06,vol:879.43
time:116.175,vol:880.074
time:116.306,vol:881.734
